id,gender,age,age_group,humor,vulnerability
usr_62111231bc,Women,34,Millennial (25–40),Serious,Vulnerable
usr_18c02c17a2,Men,21,Gen Z (<25),Serious,Neutral
usr_1c58a6a0e7,Women,40,Millennial (25–40),Serious,Neutral
usr_f2fa5eadbf,Men,25,Millennial (25–40),Serious,Neutral
usr_aea53a8142,Women,36,Millennial (25–40),Neutral,Vulnerable
usr_957f29464f,Women,36,Millennial (25–40),Serious,Vulnerable
usr_9256c466fb,Men,32,Millennial (25–40),Serious,Vulnerable
usr_f79f5f2b1b,Men,29,Millennial (25–40),Humorous,Vulnerable
usr_f98cae6f00,Women,36,Millennial (25–40),Serious,Vulnerable
usr_77c62063c9,Men,29,Millennial (25–40),Serious,Vulnerable
usr_5bd7339095,Men,43,Gen X (41–56),Serious,Neutral
usr_323f919897,Women,36,Millennial (25–40),Serious,Vulnerable
usr_44b02483f3,Women,35,Millennial (25–40),Neutral,Vulnerable
usr_9368a27fa1,Men,28,Millennial (25–40),Serious,Vulnerable
usr_15f3bdcf80,Women,38,Millennial (25–40),Serious,Neutral
usr_69c6656a7e,Men,35,Millennial (25–40),Neutral,Vulnerable
usr_5d1b9d55a6,Men,24,Gen Z (<25),Neutral,Neutral
usr_db2dae94d0,Men,24,Gen Z (<25),Neutral,Vulnerable
usr_3647e23669,Men,32,Millennial (25–40),Serious,Vulnerable
usr_6dc2e0bdb6,Men,22,Gen Z (<25),Neutral,Vulnerable
usr_a4dd2a5faa,Men,40,Millennial (25–40),Neutral,Vulnerable
usr_ca7ce7ccf9,Women,39,Millennial (25–40),Serious,Neutral
usr_1a3dd3479b,Men,34,Millennial (25–40),Neutral,Neutral
usr_a6812c96de,Women,38,Millennial (25–40),Serious,Vulnerable
usr_8734675044,Women,23,Gen Z (<25),Serious,Vulnerable
usr_a7a9bad78b,Men,32,Millennial (25–40),Serious,Neutral
usr_78ece4944a,Men,29,Millennial (25–40),Serious,Neutral
usr_3089c6389f,Men,31,Millennial (25–40),Serious,Neutral
