term,score
phoenix,0.02023112851029764
football,0.020043419019321062
sales,0.018414858446108625
denver,0.018067212849408553
log,0.017133868241324894
join,0.016954388693214046
family community,0.0168931417421949
uc berkeley,0.016849620407041636
retired,0.016673094352245427
social justice,0.01624741671643179
improv,0.016135664459970965
uc,0.01608988739102704
sign,0.016089175313270886
i'm,0.01589443400032641
community,0.01581419950916959
sober,0.015743127746286015
service privacy,0.015584400297784799
pittsburgh,0.015293187265472548
terms service,0.014893820108726164
bike,0.014729224758269514
