term,score
alt,0.01675487552611441
think,0.013353910638961759
love,0.00986864361213103
believe,0.008883971273207586
try,0.008800137149208213
software,0.0077438885515871345
india,0.007710793803390884
kind,0.007637876637405453
date doc,0.007476216152211158
moral,0.007448526247000743
interested,0.007074358097263523
occasionally,0.006799039311074575
doc,0.006601019744095774
document,0.006599585763570881
getting know,0.006523615231546891
relationships,0.0064880812895207925
people,0.0064409754474595154
stanford,0.006411659790092326
solution,0.006405786953925182
haha,0.006257843875417728
