term,score
kids,0.009533481748229098
person,0.008748794120648658
partner,0.007977249442540219
let,0.00794188063215999
life,0.007702590477900818
make,0.006626474419634236
profile,0.006513033425392954
effective,0.006414442252713749
going,0.006400347563550908
home,0.006296207844766838
share,0.006216941219910359
means,0.006107673629978641
nyc,0.005886776163218449
want,0.005842031511881618
best,0.005578351562154419
support,0.0055454681242704295
wants,0.005516827337491348
ll,0.005439038210916819
partners,0.005427861306844109
looking,0.005407062495743707
