term,score
think,0.013213395798169589
like,0.012393667169038537
things,0.010155297688464366
i'm,0.009333675544813676
i've,0.009048259206151021
ll,0.00903475167661795
games,0.008619773276139546
com,0.008289580635394228
software,0.007975799012746114
people,0.007569027910817327
research,0.007460495781684151
https,0.007384117052092711
ideas,0.007348481635172719
ve,0.007103165136477588
really,0.0068245686779075665
don't,0.006742419356005596
good,0.00651870609975894
male,0.006475754733115576
effective,0.006446695388216671
blog,0.006300318635219741
twitter,0.006235365304985772
pretty,0.006142171132938816
it's,0.006116873067407807
make,0.0060445924367170615
board,0.005954575241797488
