term,score
san,0.026087812386094745
francisco,0.023174436669058985
san francisco,0.023149757850588877
bay,0.017300868210554137
ai,0.016450871658759705
berkeley,0.016165461931636343
sf,0.015950600907034332
anonymous,0.014924340348990477
pm,0.014476447313618336
research,0.014429523320232455
bay area,0.011950989841703522
ve,0.011597767204683931
jun,0.009978466561650311
partners,0.009251234594596952
yash,0.009235757523528138
excited,0.00915884325641083
dropbox,0.008534473902959621
uc,0.008512481041915985
attuned,0.008424795245770245
area,0.008397630317450357
