term,score
alt,0.04608320762728615
nyc,0.03106872903396196
domain,0.02625251395326377
think,0.024188438360707207
like,0.019695457951350887
date doc,0.01774575777408327
buy,0.016032601495823164
don't,0.015967054023075942
city,0.014661555561009766
want,0.014290226786862932
free,0.014192107440572768
nathan,0.013457006203525421
website,0.013401063686816933
thoughtful,0.013106532665118985
skip,0.013032421576909155
new york,0.012926835101904826
york,0.012926835101904826
date,0.012865972293853202
york city,0.01256992114252011
subscribed,0.01249958114637365
