term,score
love,0.01763464506644568
man,0.009953053032491978
eyes,0.009281973716349121
men,0.009000645687374008
life,0.008462252465521874
ready,0.008290328957465582
girl,0.007719135535001394
korean,0.007542251463774262
nature,0.007328478670225714
looking man,0.007050865454675587
abroad,0.0067882793482782425
dream,0.006751662249824483
community,0.006603943678193953
divide,0.00653242126166103
living,0.006504136736595195
female,0.00624595633261713
nurturing,0.006157198721455128
browser,0.006089164475078825
communicator,0.005960535253060696
love love,0.005953175168404342
values,0.005923445098036549
edited,0.005892716679342041
emotionally,0.005736640747556526
green,0.005658528993153129
humour,0.005581051948403443
