id,generation,age,birth_year,word_count,exclam_count,exclam_per_100k,q1,q3,low_fence,high_fence
usr_69c6656a7e,Millennial,35,1990,645,15,2325.581,94.37,674.299,-775.524,1544.193
usr_bc8943c1f6,Millennial,29,1996,119,2,1680.672,94.37,674.299,-775.524,1544.193
usr_3f5b9628fc,Gen Z,24,2001,435,9,2068.966,222.502,798.885,-642.072,1663.459
usr_54d1128b0f,Millennial,40,1985,105,3,2857.143,94.37,674.299,-775.524,1544.193
usr_646043becc,Boomer,64,1961,743,2,269.179,0.0,67.295,-100.942,168.237
usr_ce8d89cc9a,Gen Z,24,2001,146,3,2054.795,222.502,798.885,-642.072,1663.459
usr_0ad3cadb21,Millennial,32,1993,1307,23,1759.755,94.37,674.299,-775.524,1544.193
usr_3861e7bb44,Millennial,37,1988,963,16,1661.475,94.37,674.299,-775.524,1544.193
usr_a554d0a027,Millennial,30,1995,1258,22,1748.808,94.37,674.299,-775.524,1544.193
usr_2a41c33405,Millennial,42,1983,613,10,1631.321,94.37,674.299,-775.524,1544.193
usr_096c1fc308,Millennial,40,1985,136,4,2941.176,94.37,674.299,-775.524,1544.193
usr_36af460751,Gen Z,24,2001,497,9,1810.865,222.502,798.885,-642.072,1663.459
usr_df98b38087,Millennial,36,1989,310,10,3225.806,94.37,674.299,-775.524,1544.193
usr_90a20138cd,Millennial,36,1989,794,13,1637.28,94.37,674.299,-775.524,1544.193
usr_91a4ee8192,Gen Z,25,2000,928,16,1724.138,222.502,798.885,-642.072,1663.459
usr_d97a99c3b7,Millennial,35,1990,135,3,2222.222,94.37,674.299,-775.524,1544.193
usr_fd38a10137,Millennial,35,1990,192,4,2083.333,94.37,674.299,-775.524,1544.193
usr_448a88249a,Millennial,39,1986,596,22,3691.275,94.37,674.299,-775.524,1544.193

