id,age,birth_year,generation,word_count,exclam_count,exclam_per_100k
usr_62111231bc,34,1991,Millennial,1592,1,62.814
usr_18c02c17a2,21,2004,Gen Z,906,0,0.0
usr_1c58a6a0e7,40,1985,Millennial,1224,2,163.399
usr_f2fa5eadbf,25,2000,Gen Z,839,2,238.379
usr_aea53a8142,36,1989,Millennial,2030,20,985.222
usr_957f29464f,36,1989,Millennial,335,1,298.507
usr_9256c466fb,32,1993,Millennial,566,2,353.357
usr_f79f5f2b1b,29,1996,Millennial,2080,7,336.538
usr_f98cae6f00,36,1989,Millennial,1336,2,149.701
usr_77c62063c9,29,1996,Millennial,1000,3,300.0
usr_5bd7339095,43,1982,Millennial,1512,12,793.651
usr_323f919897,36,1989,Millennial,568,0,0.0
usr_44b02483f3,35,1990,Millennial,1157,2,172.861
usr_9368a27fa1,28,1997,Gen Z,1385,3,216.606
usr_15f3bdcf80,38,1987,Millennial,369,1,271.003
usr_69c6656a7e,35,1990,Millennial,645,15,2325.581
usr_5d1b9d55a6,24,2001,Gen Z,384,2,520.833
usr_db2dae94d0,24,2001,Gen Z,1040,0,0.0
usr_3647e23669,32,1993,Millennial,2850,7,245.614
usr_6dc2e0bdb6,22,2003,Gen Z,853,3,351.7
usr_a4dd2a5faa,40,1985,Millennial,568,1,176.056
usr_ca7ce7ccf9,39,1986,Millennial,892,0,0.0
usr_1a3dd3479b,34,1991,Millennial,396,6,1515.152
usr_a6812c96de,38,1987,Millennial,817,3,367.197
usr_8734675044,23,2002,Gen Z,535,0,0.0
usr_a7a9bad78b,32,1993,Millennial,762,6,787.402
usr_78ece4944a,29,1996,Millennial,326,2,613.497
usr_3089c6389f,31,1994,Millennial,1144,7,611.888
usr_7b6463a41f,40,1985,Millennial,369,1,271.003
usr_41855fc328,37,1988,Millennial,2686,0,0.0
usr_e4e1b0b7c4,28,1997,Gen Z,1159,3,258.844
usr_2baef7757a,25,2000,Gen Z,853,6,703.4
usr_29f94af17f,24,2001,Gen Z,748,0,0.0
usr_bc8943c1f6,29,1996,Millennial,119,2,1680.672
usr_07f65c8d00,35,1990,Millennial,368,1,271.739
usr_9ea93eae4d,35,1990,Millennial,339,1,294.985
