id,interest_group,word_count,complex_pct
usr_62111231bc,Looking for Both,1592,17.776
usr_18c02c17a2,Looking for Women,906,9.934
usr_1c58a6a0e7,Looking for Men,1224,14.461
usr_f2fa5eadbf,Looking for Women,839,13.826
usr_aea53a8142,Looking for Men,2030,14.039
usr_957f29464f,Looking for Men,335,10.746
usr_9256c466fb,Looking for Women,566,20.318
usr_f79f5f2b1b,Looking for Women,2080,12.548
usr_f98cae6f00,Looking for Men,1336,25.449
usr_77c62063c9,Looking for Women,1000,12.2
usr_5bd7339095,Looking for Women,1512,13.228
usr_323f919897,Looking for Men,568,21.479
usr_44b02483f3,Looking for Men,1157,15.644
usr_9368a27fa1,Looking for Women,1385,23.466
usr_15f3bdcf80,Looking for Men,369,20.325
usr_69c6656a7e,Looking for Women,645,9.922
usr_5d1b9d55a6,Looking for Women,384,10.938
usr_db2dae94d0,Looking for Women,1040,13.846
usr_3647e23669,Looking for Women,2850,13.754
usr_6dc2e0bdb6,Looking for Women,853,20.516
usr_a4dd2a5faa,Looking for Women,568,18.486
usr_ca7ce7ccf9,Looking for Men,892,16.592
usr_1a3dd3479b,Looking for Women,396,17.172
usr_a6812c96de,Looking for Men,817,14.688
usr_8734675044,Looking for Men,535,15.327
usr_a7a9bad78b,Looking for Women,762,18.373
usr_78ece4944a,Looking for Women,326,6.442
usr_3089c6389f,Looking for Women,1144,12.15
usr_7b6463a41f,Looking for Men,369,13.279
usr_41855fc328,Looking for Men,2686,23.641
usr_e4e1b0b7c4,Looking for Both,1159,23.727
usr_2baef7757a,Looking for Women,853,12.544
usr_29f94af17f,Looking for Women,748,18.048
usr_bc8943c1f6,Looking for Women,119,21.849
usr_07f65c8d00,Looking for Women,368,10.326
usr_9ea93eae4d,Looking for Women,339,17.404
usr_05416c339c,Looking for Women,886,13.77
usr_2d2e80e632,Looking for Men,788,11.421
usr_b249276aff,Looking for Men,1877,10.762
usr_28c25b686b,Looking for Women,323,14.241
usr_af082a73b0,Looking for Women,476,12.395
usr_de9267b485,Looking for Women,1361,13.666
usr_fc017d82c9,Looking for Both,178,20.787
usr_7abe6d26c5,Looking for Women,1686,15.718
usr_55a09b3eb6,Looking for Women,434,14.977
usr_5c454914d9,Looking for Women,571,14.186
usr_bea9a0b648,Looking for Women,924,10.498
usr_1a96b561a7,Looking for Women,392,16.582
usr_1fb73e4836,Looking for Women,840,14.048
usr_9e07ccdaa5,Looking for Women,364,8.791
usr_f1fa07879a,Looking for Both,1871,11.331
usr_2b3c84d078,Looking for Men,324,13.58
usr_76e12533b0,Looking for Women,1172,15.956
usr_e02afc30b9,Looking for Men,420,10.238
usr_7beff3f364,Looking for Women,446,15.022
usr_ec665788c6,Looking for Women,1201,9.659
usr_1d7ce6b95c,Looking for Both,103,7.767
usr_8c045e9342,Looking for Women,1118,14.132
usr_482e943750,Looking for Women,307,9.446
usr_c7b0287a2e,Looking for Women,402,16.418
usr_2b2bbb68f8,Looking for Men,1041,11.239
usr_8a66d8f970,Looking for Women,12555,15.93
usr_dc07f2432e,Looking for Women,429,10.49
usr_b8ae6cc066,Looking for Women,832,9.856
usr_eafd834d0c,Looking for Women,183,14.208
usr_5cb6a47d0b,Looking for Men,326,11.35
usr_a64be45867,Looking for Women,175,20.0
usr_f93f3a791a,Looking for Men,2616,16.131
usr_65da957f53,Looking for Women,375,13.867
usr_086121af0b,Looking for Women,1292,13.854
usr_d011560031,Looking for Women,1347,13.512
usr_4542e591bd,Looking for Women,670,14.478
usr_87ae7e8e85,Looking for Women,720,11.25
usr_c95879af82,Looking for Women,855,16.257
usr_3eb7c032c3,Looking for Women,1492,18.097
usr_b1841bcdb4,Looking for Men,592,9.291
usr_4c79d89899,Looking for Women,1557,12.46
usr_ad37c5c484,Looking for Both,501,17.166
usr_e913712157,Looking for Women,1280,15.937
usr_f9d016cd0b,Looking for Women,648,10.031
usr_dee75989a8,Looking for Women,866,14.781
usr_f84a619384,Looking for Men,110,12.727
usr_1ffec2b180,Looking for Women,1513,12.954
usr_5807311f43,Looking for Women,1078,10.853
usr_3f5b9628fc,Looking for Men,435,11.034
usr_7bea345c09,Looking for Women,1749,16.695
usr_f6860f2591,Looking for Women,1074,11.825
usr_32e6c20d7a,Looking for Men,1913,18.557
usr_6c48cb097e,Looking for Women,273,7.692
usr_74299a606e,Looking for Men,258,17.442
usr_f99d050fdb,Looking for Women,1663,10.764
usr_23903e6cac,Looking for Women,1057,11.637
usr_1cbd809ad9,Looking for Women,1647,13.783
usr_64aaeab250,Looking for Women,2515,11.213
usr_f8b3720cf2,Looking for Women,1904,13.55
usr_13d918dd1a,Looking for Women,1215,12.428
usr_f3d4b8d4e3,Looking for Both,1361,11.095
usr_582385d5f1,Looking for Both,1049,11.725
usr_211c9de06e,Looking for Women,181,25.967
usr_a0ee1d96bb,Looking for Women,289,11.073
usr_c5f611665c,Looking for Men,275,15.636
usr_574998da53,Looking for Women,1492,13.606
usr_2af60cf596,Looking for Men,268,9.328
usr_5585b9cd21,Looking for Women,697,8.465
usr_8f8b200a9a,Looking for Both,739,18.539
usr_54d1128b0f,Looking for Men,105,13.333
usr_4da5e702b2,Looking for Women,126,15.079
usr_6abed675ba,Looking for Men,860,14.884
usr_e546949ddc,Looking for Men,635,16.063
usr_ba83e1402b,Looking for Women,533,11.445
usr_e2e23a6e0e,Looking for Men,345,15.652
usr_8e08991398,Looking for Women,596,8.557
usr_0e7b7af163,Looking for Women,1832,11.681
usr_04732cb97b,Looking for Women,295,22.034
usr_5f8a6bcd88,Looking for Women,871,22.732
usr_b3064cef67,Looking for Women,1619,13.465
usr_f0b57d5086,Looking for Women,126,18.254
usr_175108006f,Looking for Women,838,18.854
usr_02bf46161c,Looking for Women,480,16.042
usr_75b14a324e,Looking for Women,2069,12.228
usr_67f17eb9e6,Looking for Women,1040,12.692
usr_f57ea7ef5b,Looking for Both,514,13.813
usr_088df0aede,Looking for Women,653,14.855
usr_c5959f611c,Looking for Men,732,14.891
usr_612c0a9acf,Looking for Women,866,10.508
usr_aff5b99157,Looking for Women,2318,13.287
usr_84dc6a034d,Looking for Men,239,18.828
usr_f81ea6a0d9,Looking for Women,332,9.94
usr_646043becc,Looking for Women,743,11.44
usr_0434dfa104,Looking for Women,421,10.689
usr_aeebbaacd1,Looking for Women,331,16.616
