rank,US_word,US_z,NON_US_word,NON_US_z
1,google,3.7575,london,-4.1889
2,business,2.871,people,-3.4334
3,travel,2.8482,listening,-3.1371
4,culture,2.5581,making,-3.1257
5,because,2.3146,interest,-3.0237
6,seeking,2.2674,things,-3.0078
7,children,2.2667,favourite,-2.9309
8,favorite,2.2269,positive,-2.8511
9,partnership,2.2016,reading,-2.5332
10,profile,2.1874,generally,-2.5009
11,workspace,2.186,occasionally,-2.4638
12,islands,2.1237,points,-2.4602
13,outdoors,2.1237,around,-2.3418
14,create,2.0998,friends,-2.2617
15,preference,2.0758,particular,-2.2489
16,documents,2.035,random,-2.2452
17,facebook,2.035,hopefully,-2.2452
18,content,2.0147,matters,-2.2439
19,parenting,1.954,particularly,-2.2439
20,traveling,1.9397,physics,-2.2356
