id,word_count,em_dash_count,bucket
usr_62111231bc,1585,0,0
usr_18c02c17a2,903,0,0
usr_1c58a6a0e7,1207,3,3
usr_f2fa5eadbf,820,1,1
usr_aea53a8142,2027,0,0
usr_957f29464f,318,0,0
usr_9256c466fb,577,0,0
usr_f79f5f2b1b,2027,0,0
usr_f98cae6f00,1403,1,1
usr_77c62063c9,997,8,5+
usr_5bd7339095,1477,5,5+
usr_323f919897,548,5,5+
usr_44b02483f3,1153,3,3
usr_9368a27fa1,1368,8,5+
usr_15f3bdcf80,356,0,0
usr_69c6656a7e,627,0,0
usr_5d1b9d55a6,364,1,1
usr_db2dae94d0,962,0,0
usr_3647e23669,2806,6,5+
usr_6dc2e0bdb6,835,2,2
usr_a4dd2a5faa,591,0,0
usr_ca7ce7ccf9,877,2,2
usr_1a3dd3479b,405,3,3
usr_a6812c96de,824,1,1
usr_8734675044,537,0,0
usr_a7a9bad78b,726,1,1
usr_78ece4944a,322,0,0
usr_3089c6389f,1153,1,1
usr_7b6463a41f,373,0,0
usr_41855fc328,2616,0,0
usr_e4e1b0b7c4,1181,10,5+
usr_2baef7757a,837,0,0
usr_29f94af17f,735,5,5+
usr_bc8943c1f6,112,0,0
usr_07f65c8d00,362,0,0
usr_9ea93eae4d,325,0,0
usr_05416c339c,873,5,5+
usr_2d2e80e632,790,1,1
usr_b249276aff,1825,1,1
usr_28c25b686b,313,0,0
usr_af082a73b0,469,3,3
usr_de9267b485,1341,0,0
usr_fc017d82c9,170,0,0
usr_7abe6d26c5,1655,6,5+
usr_55a09b3eb6,428,0,0
usr_5c454914d9,566,0,0
usr_bea9a0b648,881,0,0
usr_1a96b561a7,385,0,0
usr_1fb73e4836,832,1,1
usr_9e07ccdaa5,363,0,0
usr_f1fa07879a,1788,5,5+
usr_2b3c84d078,315,0,0
usr_76e12533b0,1158,0,0
usr_e02afc30b9,413,0,0
usr_7beff3f364,426,0,0
usr_ec665788c6,1140,0,0
usr_1d7ce6b95c,99,0,0
usr_8c045e9342,1079,0,0
usr_482e943750,314,1,1
usr_c7b0287a2e,399,11,5+
usr_2b2bbb68f8,1022,0,0
usr_8a66d8f970,12333,1,1
usr_dc07f2432e,420,0,0
usr_b8ae6cc066,786,0,0
usr_eafd834d0c,172,0,0
usr_5cb6a47d0b,328,0,0
usr_a64be45867,186,0,0
usr_f93f3a791a,2604,0,0
usr_65da957f53,374,0,0
usr_086121af0b,1296,0,0
usr_d011560031,1321,2,2
usr_4542e591bd,677,2,2
usr_87ae7e8e85,689,0,0
usr_c95879af82,855,0,0
usr_3eb7c032c3,1453,1,1
usr_b1841bcdb4,581,0,0
usr_4c79d89899,1589,0,0
usr_ad37c5c484,501,1,1
usr_e913712157,1261,0,0
usr_f9d016cd0b,636,0,0
usr_dee75989a8,856,3,3
usr_f84a619384,104,0,0
usr_1ffec2b180,1506,0,0
usr_5807311f43,1064,0,0
usr_3f5b9628fc,413,0,0
usr_7bea345c09,1705,2,2
usr_f6860f2591,1050,0,0
usr_32e6c20d7a,1844,6,5+
usr_6c48cb097e,262,1,1
usr_74299a606e,253,0,0
usr_f99d050fdb,1633,0,0
usr_23903e6cac,1000,1,1
usr_1cbd809ad9,1604,2,2
usr_64aaeab250,2438,0,0
usr_f8b3720cf2,1912,6,5+
usr_13d918dd1a,1186,3,3
usr_f3d4b8d4e3,1316,0,0
usr_582385d5f1,1045,0,0
usr_211c9de06e,196,0,0
usr_a0ee1d96bb,284,0,0
usr_c5f611665c,285,0,0
usr_574998da53,1435,7,5+
usr_2af60cf596,266,0,0
usr_5585b9cd21,656,1,1
usr_8f8b200a9a,740,0,0
usr_54d1128b0f,107,0,0
usr_4da5e702b2,121,0,0
usr_6abed675ba,825,0,0
usr_e546949ddc,625,2,2
usr_ba83e1402b,503,0,0
usr_e2e23a6e0e,379,1,1
usr_8e08991398,581,0,0
usr_0e7b7af163,1799,1,1
usr_04732cb97b,295,0,0
usr_5f8a6bcd88,869,0,0
usr_b3064cef67,1588,1,1
usr_f0b57d5086,108,0,0
usr_175108006f,801,1,1
usr_02bf46161c,452,0,0
usr_75b14a324e,2025,0,0
usr_67f17eb9e6,1029,0,0
usr_f57ea7ef5b,533,0,0
usr_088df0aede,655,0,0
usr_c5959f611c,719,0,0
usr_612c0a9acf,850,0,0
usr_aff5b99157,2345,7,5+
usr_84dc6a034d,228,0,0
usr_f81ea6a0d9,324,0,0
usr_646043becc,754,0,0
usr_0434dfa104,413,0,0
usr_aeebbaacd1,321,0,0
usr_fb725bc901,104,0,0
usr_fa70caacaa,875,0,0
usr_2f8c26e8f2,922,0,0
usr_2f7814b980,1448,0,0
usr_0815a0bd72,122,0,0
usr_65ff9bd76e,663,0,0
usr_5a5a1b1133,1072,0,0
usr_7a4f5b5298,846,0,0
usr_5b651e5d8a,1065,0,0
usr_ce8d89cc9a,152,0,0
usr_0595390b2a,564,0,0
usr_0ad3cadb21,1266,0,0
usr_b7dffef9dd,1106,0,0
usr_e2c15ff14e,477,0,0
usr_1b22b88b8c,461,0,0
usr_ec181fb208,1007,5,5+
usr_8e01aabd7b,1153,3,3
usr_3861e7bb44,972,0,0
usr_2a6d2a2d9e,658,0,0
usr_0ddd44ddab,559,0,0
usr_f31f1ef82d,501,0,0
usr_b0cbb72cba,963,0,0
usr_f8264ce8ea,277,0,0
usr_388e4d83da,380,0,0
usr_f753263e7c,1213,1,1
usr_75f2661435,4694,24,5+
usr_ad51f6fcde,1164,0,0
usr_62a591d357,669,0,0
usr_a5a2e6db18,790,2,2
usr_043cba3ae0,1516,0,0
usr_7bae480261,984,0,0
usr_a554d0a027,1217,0,0
usr_c171b85fd5,3031,18,5+
usr_0cf7f3e282,249,0,0
usr_5048f38377,1033,0,0
usr_087fbc195a,1609,0,0
usr_338869b614,209,0,0
usr_7c05cf7f82,713,0,0
usr_dab34ae3eb,1831,0,0
usr_91520afa39,2217,0,0
usr_472fe7a708,1085,0,0
usr_eeb1bca3df,713,0,0
usr_720699db56,340,0,0
usr_48faf2fb83,749,0,0
usr_5404818004,245,0,0
usr_e6786b8495,486,0,0
usr_f93929ccfe,1352,0,0
usr_83dfcfab4f,417,0,0
usr_2a41c33405,596,0,0
usr_e85937d6f1,424,0,0
usr_6d33a4613e,538,0,0
usr_73fb709f6f,362,0,0
usr_e77eb2eb7d,1404,0,0
usr_8b8fa88e38,4215,0,0
usr_afcc6e0593,940,0,0
usr_f6f09aa842,2093,11,5+
usr_eca6230bc7,942,0,0
usr_455248a8c2,1783,0,0
usr_cb1f4df9ab,454,0,0
usr_9114a08dc7,1807,0,0
usr_ff0b88a130,1677,0,0
usr_8cff506150,234,0,0
usr_9125241386,1105,0,0
usr_edae9f254b,543,0,0
usr_3386c9dc77,234,0,0
usr_210314bef7,2603,0,0
usr_6c237e0590,570,0,0
usr_c4f7451f7e,423,0,0
usr_0ea1d233e4,745,0,0
usr_a4ecbea0a1,941,0,0
usr_7a86b09354,101,0,0
usr_145d4094eb,245,0,0
usr_4cabf006ea,345,3,3
usr_002801e2b5,392,0,0
usr_92a91ee01b,683,0,0
usr_096c1fc308,133,0,0
usr_8f91ad41be,219,0,0
usr_772c480194,290,0,0
usr_a3452c4d95,538,0,0
usr_a316ad1ed3,288,1,1
usr_f6e0013eab,676,0,0
usr_c0b3a89595,362,0,0
usr_527d3d9c91,551,0,0
usr_66fbc11cf7,676,0,0
usr_c77d61e581,384,0,0
usr_9c7bd4050f,540,0,0
usr_5675b58976,624,0,0
usr_a685339a27,632,0,0
usr_169fe68959,2235,0,0
usr_3471ae2b14,317,0,0
usr_076c084131,775,0,0
usr_75f07f3e1a,1365,0,0
usr_6220c53bd4,985,0,0
usr_df563a8c21,127,0,0
usr_8d798f2ac8,114,0,0
usr_36af460751,504,0,0
usr_870452fa93,362,0,0
usr_ca9dfe4c14,868,0,0
usr_bacc2418a5,108,0,0
usr_ba9d8d1b92,126,0,0
usr_8ab426951e,1957,8,5+
usr_52bf981f18,3797,2,2
usr_80c22d2507,796,0,0
usr_df98b38087,286,0,0
usr_b1185a9599,1799,1,1
usr_f40be05c5f,686,0,0
usr_321cbee0ad,990,3,3
usr_90a20138cd,789,0,0
usr_3b7ae0f59b,136,0,0
usr_2cf51205d0,431,0,0
usr_564edb5079,869,0,0
usr_c4a83cbbdf,2466,0,0
usr_657eb75a0a,1048,0,0
usr_6604a51053,798,0,0
usr_370e9dbeca,732,0,0
usr_f524dc772d,290,0,0
usr_655f1ed2c4,359,0,0
usr_60221ab882,1159,4,4
usr_5d19c07e30,95,0,0
usr_4fc014d179,577,0,0
usr_da31a54b44,311,0,0
usr_91f5407cf3,160,0,0
usr_91a4ee8192,897,0,0
usr_77683bbfb9,408,0,0
usr_2d35fdfcae,1030,1,1
usr_b4914ffd72,1294,0,0
usr_e095117d98,282,0,0
usr_e10455e54d,1556,0,0
usr_b388085011,491,0,0
usr_174539e3d3,1138,4,4
usr_2d1d90850d,540,0,0
usr_1c94368b35,278,0,0
usr_b59b3aa4ec,144,0,0
usr_aef0bc1982,355,0,0
usr_51bb038ab9,1746,0,0
usr_bc27cf28c9,395,0,0
usr_dfe670cf74,415,0,0
usr_aca50c1241,524,0,0
usr_72ee7b01b7,636,0,0
usr_340e6cc34d,129,0,0
usr_30ff43ad3f,903,0,0
usr_c2d0e67189,204,0,0
usr_d9c2875f2b,1153,3,3
usr_d78fe9d889,786,0,0
usr_d97a99c3b7,126,0,0
usr_58fe5bb1ed,986,0,0
usr_e180f374be,728,0,0
usr_298b38ef40,177,2,2
usr_4b7db33b94,148,0,0
usr_8e94444f6f,1453,4,4
usr_bc41567741,507,0,0
usr_bac751c66d,130,0,0
usr_fd38a10137,179,0,0
usr_ad60c5f6a0,2277,0,0
usr_b25bc47508,295,3,3
usr_8bec96c14b,2932,1,1
usr_d8d708ea6b,110,0,0
usr_7a0143fed6,994,0,0
usr_65721f6fe3,500,0,0
usr_80304fd0b5,798,0,0
usr_d76a063805,492,0,0
usr_33e12a81c2,511,0,0
usr_95a9b10018,395,0,0
usr_9c3df10c8e,679,0,0
usr_4ca3dd5a11,2594,0,0
usr_3da85ea3ec,8369,1,1
usr_5d087ea782,2371,4,4
usr_028ffb91eb,2605,0,0
usr_88c85ecc38,1280,0,0
usr_66a6bdc77b,1044,0,0
usr_ab89eb0bb3,1635,0,0
usr_c5a8d4db9f,832,1,1
usr_7fd82cd0b4,470,0,0
usr_81ad59323d,847,1,1
usr_107b467dd6,525,0,0
usr_a3164c38df,1261,2,2
usr_98a3a766b8,136,0,0
usr_dc0f7360e9,913,0,0
usr_6c464a7f53,569,0,0
usr_e8711d37b3,1748,4,4
usr_225ba0249f,108,0,0
usr_5279084c35,2047,0,0
usr_58c9686525,1207,0,0
usr_781710d5f3,3149,0,0
usr_adef7c72b1,204,0,0
usr_687f8c5cbf,239,0,0
usr_75045befd8,668,0,0
usr_f12e7c6cb0,183,0,0
usr_466c43842b,219,1,1
usr_48e483544a,7454,3,3
usr_448a88249a,575,0,0
