id,gender,word_count,exclam_count,exclam_per_100k
usr_62111231bc,Female,1592,1,62.814
usr_18c02c17a2,Male,906,0,0.0
usr_1c58a6a0e7,Female,1224,2,163.399
usr_f2fa5eadbf,Male,839,2,238.379
usr_aea53a8142,Female,2030,20,985.222
usr_957f29464f,Female,335,1,298.507
usr_9256c466fb,Male,566,2,353.357
usr_f79f5f2b1b,Male,2080,7,336.538
usr_f98cae6f00,Female,1336,2,149.701
usr_77c62063c9,Male,1000,3,300.0
usr_5bd7339095,Male,1512,12,793.651
usr_323f919897,Female,568,0,0.0
usr_44b02483f3,Female,1157,2,172.861
usr_9368a27fa1,Male,1385,3,216.606
usr_15f3bdcf80,Female,369,1,271.003
usr_69c6656a7e,Male,645,15,2325.581
usr_5d1b9d55a6,Male,384,2,520.833
usr_db2dae94d0,Male,1040,0,0.0
usr_3647e23669,Male,2850,7,245.614
usr_6dc2e0bdb6,Male,853,3,351.7
usr_a4dd2a5faa,Male,568,1,176.056
usr_ca7ce7ccf9,Female,892,0,0.0
usr_1a3dd3479b,Male,396,6,1515.152
usr_a6812c96de,Female,817,3,367.197
usr_8734675044,Female,535,0,0.0
usr_a7a9bad78b,Male,762,6,787.402
usr_78ece4944a,Male,326,2,613.497
usr_3089c6389f,Male,1144,7,611.888
usr_7b6463a41f,Female,369,1,271.003
usr_41855fc328,Female,2686,0,0.0
usr_e4e1b0b7c4,Male,1159,3,258.844
usr_2baef7757a,Male,853,6,703.4
usr_29f94af17f,Male,748,0,0.0
usr_bc8943c1f6,Male,119,2,1680.672
usr_07f65c8d00,Male,368,1,271.739
usr_9ea93eae4d,Male,339,1,294.985
usr_05416c339c,Male,886,3,338.6
usr_2d2e80e632,Female,788,9,1142.132
usr_b249276aff,Female,1877,4,213.106
usr_28c25b686b,Male,323,0,0.0
usr_af082a73b0,Male,476,3,630.252
usr_de9267b485,Male,1361,15,1102.131
usr_fc017d82c9,Female,178,0,0.0
usr_7abe6d26c5,Male,1686,7,415.184
usr_55a09b3eb6,Male,434,7,1612.903
usr_5c454914d9,Male,571,3,525.394
usr_bea9a0b648,Male,924,0,0.0
usr_1a96b561a7,Male,392,0,0.0
usr_1fb73e4836,Male,840,0,0.0
usr_9e07ccdaa5,Male,364,5,1373.626
usr_f1fa07879a,Male,1871,6,320.684
usr_2b3c84d078,Female,324,1,308.642
usr_76e12533b0,Male,1172,3,255.973
usr_e02afc30b9,Female,420,5,1190.476
usr_7beff3f364,Male,446,5,1121.076
usr_ec665788c6,Male,1201,7,582.848
usr_1d7ce6b95c,Female,103,1,970.874
usr_8c045e9342,Male,1118,4,357.782
usr_482e943750,Male,307,3,977.199
usr_c7b0287a2e,Male,402,0,0.0
usr_2b2bbb68f8,Female,1041,6,576.369
usr_8a66d8f970,Male,12555,3,23.895
usr_dc07f2432e,Male,429,1,233.1
usr_b8ae6cc066,Male,832,6,721.154
usr_eafd834d0c,Male,183,1,546.448
usr_5cb6a47d0b,Female,326,4,1226.994
usr_a64be45867,Male,175,2,1142.857
usr_65da957f53,Male,375,0,0.0
usr_086121af0b,Male,1292,10,773.994
usr_d011560031,Male,1347,2,148.478
usr_4542e591bd,Male,670,4,597.015
usr_87ae7e8e85,Male,720,6,833.333
usr_c95879af82,Male,855,2,233.918
usr_3eb7c032c3,Male,1492,5,335.121
usr_b1841bcdb4,Female,592,3,506.757
usr_4c79d89899,Male,1557,2,128.452
usr_ad37c5c484,Female,501,1,199.601
usr_e913712157,Male,1280,4,312.5
usr_f9d016cd0b,Male,648,4,617.284
usr_dee75989a8,Male,866,4,461.894
usr_f84a619384,Male,110,1,909.091
usr_1ffec2b180,Male,1513,7,462.657
usr_5807311f43,Male,1078,5,463.822
usr_3f5b9628fc,Female,435,9,2068.966
usr_7bea345c09,Male,1749,5,285.878
usr_f6860f2591,Male,1074,0,0.0
usr_6c48cb097e,Male,273,0,0.0
usr_74299a606e,Female,258,1,387.597
usr_f99d050fdb,Male,1663,4,240.529
usr_23903e6cac,Male,1057,11,1040.681
