id,source_gender,target_gender,word_count,sentence_count,long_sentence_pct,interestedIn_raw
usr_62111231bc,F,F,1592,114,20.175,"['F', 'M']"
usr_62111231bc,F,M,1592,114,20.175,"['F', 'M']"
usr_18c02c17a2,M,F,906,77,9.091,['F']
usr_c05d895fb7,F,F,535,23,43.478,"['F', 'M', 'NB']"
usr_c05d895fb7,F,M,535,23,43.478,"['F', 'M', 'NB']"
usr_c05d895fb7,F,NB,535,23,43.478,"['F', 'M', 'NB']"
usr_1c58a6a0e7,F,M,1224,143,10.49,['M']
usr_f2fa5eadbf,M,F,839,59,25.424,['F']
usr_aea53a8142,F,M,2030,178,15.73,['M']
usr_957f29464f,F,M,335,36,16.667,['M']
usr_9256c466fb,M,F,566,49,14.286,['F']
usr_f79f5f2b1b,M,F,2080,524,3.053,['F']
usr_f98cae6f00,F,M,1336,177,9.04,"['M', 'NB']"
usr_f98cae6f00,F,NB,1336,177,9.04,"['M', 'NB']"
usr_77c62063c9,M,F,1000,89,11.236,['F']
usr_5bd7339095,M,F,1512,213,5.164,['F']
usr_323f919897,F,M,568,82,4.878,"['M', 'NB']"
usr_323f919897,F,NB,568,82,4.878,"['M', 'NB']"
usr_44b02483f3,F,M,1157,83,28.916,['M']
usr_9368a27fa1,M,F,1385,139,13.669,['F']
usr_15f3bdcf80,F,M,369,45,11.111,"['M', 'NB']"
usr_15f3bdcf80,F,NB,369,45,11.111,"['M', 'NB']"
usr_69c6656a7e,M,F,645,35,42.857,['F']
usr_5d1b9d55a6,M,F,384,46,4.348,['F']
usr_db2dae94d0,M,F,1040,66,33.333,['F']
usr_3647e23669,M,F,2850,181,30.939,['F']
usr_6dc2e0bdb6,M,F,853,64,28.125,['F']
usr_a4dd2a5faa,M,F,568,53,18.868,['F']
usr_ca7ce7ccf9,F,M,892,88,12.5,['M']
usr_1a3dd3479b,M,F,396,377,0.0,['F']
usr_a6812c96de,F,M,817,77,12.987,['M']
usr_8734675044,F,M,535,49,12.245,"['M', 'NB']"
usr_8734675044,F,NB,535,49,12.245,"['M', 'NB']"
usr_a7a9bad78b,M,F,762,101,6.931,['F']
usr_78ece4944a,M,F,326,15,46.667,['F']
