id,career_field,career_field_label,gym_mentioned,matched_term
usr_62111231bc,MEDICINE,Medicine/Health,1,exercise
usr_18c02c17a2,MEDICINE,Medicine/Health,1,weights
usr_c05d895fb7,MEDICINE,Medicine/Health,0,
usr_1c58a6a0e7,ENGINEERING,Engineering,1,gym
usr_f2fa5eadbf,STUDENT,Students,1,climb
usr_aea53a8142,STUDENT,Students,1,weightlifting
usr_957f29464f,MEDICINE,Medicine/Health,0,
usr_9256c466fb,OTHER,Other,1,fitness
usr_f79f5f2b1b,STUDENT,Students,1,run
usr_f98cae6f00,STUDENT,Students,1,Bouldering
usr_77c62063c9,MEDICINE,Medicine/Health,1,gym
usr_5bd7339095,MEDICINE,Medicine/Health,1,Running
usr_323f919897,STUDENT,Students,1,exercise
usr_44b02483f3,STUDENT,Students,0,
usr_9368a27fa1,STUDENT,Students,1,Exercise
usr_15f3bdcf80,OTHER,Other,0,
usr_69c6656a7e,OTHER,Other,1,run
usr_5d1b9d55a6,STUDENT,Students,1,exercise
usr_db2dae94d0,ENGINEERING,Engineering,1,Exercise
usr_3647e23669,MEDICINE,Medicine/Health,1,lifting
usr_6dc2e0bdb6,MEDICINE,Medicine/Health,0,
usr_a4dd2a5faa,ARTS_HUMANITIES,Arts & Humanities,1,gym
usr_ca7ce7ccf9,MEDICINE,Medicine/Health,1,exercise
usr_1a3dd3479b,ENGINEERING,Engineering,1,yoga
usr_a6812c96de,MEDICINE,Medicine/Health,1,hike
usr_8734675044,OTHER,Other,1,climbing
usr_a7a9bad78b,STUDENT,Students,1,climbing
usr_78ece4944a,ARTS_HUMANITIES,Arts & Humanities,1,running
usr_3089c6389f,STUDENT,Students,1,run
usr_7b6463a41f,OTHER,Other,1,run
usr_41855fc328,MEDICINE,Medicine/Health,0,
usr_e4e1b0b7c4,MEDICINE,Medicine/Health,1,Exercise
usr_2baef7757a,STUDENT,Students,1,run
usr_29f94af17f,STUDENT,Students,1,exercise
usr_bc8943c1f6,STUDENT,Students,1,hike
usr_07f65c8d00,ENGINEERING,Engineering,1,hike
usr_9ea93eae4d,MEDICINE,Medicine/Health,1,Swimming
usr_05416c339c,ENGINEERING,Engineering,1,lifting
usr_2d2e80e632,STUDENT,Students,0,
usr_b249276aff,STUDENT,Students,1,climbing
usr_28c25b686b,MEDICINE,Medicine/Health,0,
usr_af082a73b0,ENGINEERING,Engineering,1,Climbing
usr_de9267b485,ENGINEERING,Engineering,1,workout
usr_fc017d82c9,MEDICINE,Medicine/Health,0,
usr_7abe6d26c5,STUDENT,Students,1,yoga
usr_55a09b3eb6,STUDENT,Students,1,climbing
usr_5c454914d9,STUDENT,Students,1,running
usr_bea9a0b648,ENGINEERING,Engineering,1,running
usr_1a96b561a7,ENGINEERING,Engineering,1,swimming
usr_1fb73e4836,MEDICINE,Medicine/Health,1,run
usr_9e07ccdaa5,MEDICINE,Medicine/Health,0,
usr_f1fa07879a,STUDENT,Students,1,lifting
usr_2b3c84d078,MEDICINE,Medicine/Health,0,
usr_76e12533b0,MEDICINE,Medicine/Health,1,swimming
usr_e02afc30b9,MEDICINE,Medicine/Health,0,
usr_7beff3f364,MEDICINE,Medicine/Health,1,swimming
usr_ec665788c6,MEDICINE,Medicine/Health,1,Fitness
usr_1d7ce6b95c,OTHER,Other,0,
usr_8c045e9342,STUDENT,Students,1,bouldering
usr_482e943750,OTHER,Other,1,hike
usr_c7b0287a2e,MEDICINE,Medicine/Health,1,run
usr_2b2bbb68f8,STUDENT,Students,0,
usr_8a66d8f970,STUDENT,Students,1,Boulder
usr_dc07f2432e,ENGINEERING,Engineering,0,
usr_b8ae6cc066,MEDICINE,Medicine/Health,1,running
usr_eafd834d0c,OTHER,Other,0,
usr_5cb6a47d0b,ARTS_HUMANITIES,Arts & Humanities,0,
usr_a64be45867,OTHER,Other,0,
usr_f93f3a791a,STUDENT,Students,1,running
usr_65da957f53,MEDICINE,Medicine/Health,1,climbing
usr_086121af0b,MEDICINE,Medicine/Health,0,
usr_d011560031,STUDENT,Students,1,running
usr_4542e591bd,MEDICINE,Medicine/Health,1,running
usr_87ae7e8e85,MEDICINE,Medicine/Health,0,
usr_c95879af82,STUDENT,Students,1,work out
usr_3eb7c032c3,ENGINEERING,Engineering,1,fitness
usr_b1841bcdb4,MEDICINE,Medicine/Health,1,exercise
usr_4c79d89899,MEDICINE,Medicine/Health,1,yoga
usr_ad37c5c484,MEDICINE,Medicine/Health,1,Running
usr_e913712157,STUDENT,Students,1,Fitness
usr_f9d016cd0b,MEDICINE,Medicine/Health,1,hike
usr_dee75989a8,ENGINEERING,Engineering,1,yoga
usr_f84a619384,OTHER,Other,0,
usr_1ffec2b180,MEDICINE,Medicine/Health,1,Work out
usr_5807311f43,ENGINEERING,Engineering,1,run
usr_3f5b9628fc,ENGINEERING,Engineering,0,
usr_7bea345c09,STUDENT,Students,1,exercise
usr_f6860f2591,MEDICINE,Medicine/Health,0,
usr_32e6c20d7a,STUDENT,Students,1,gym
usr_6c48cb097e,STUDENT,Students,0,
usr_74299a606e,STUDENT,Students,0,
usr_f99d050fdb,STUDENT,Students,1,running
usr_23903e6cac,STUDENT,Students,1,run
usr_1cbd809ad9,MEDICINE,Medicine/Health,1,workout
usr_64aaeab250,STUDENT,Students,1,work out
usr_f8b3720cf2,ENGINEERING,Engineering,1,Climbing
usr_13d918dd1a,MEDICINE,Medicine/Health,1,run
usr_f3d4b8d4e3,MEDICINE,Medicine/Health,1,climbing
usr_582385d5f1,MEDICINE,Medicine/Health,0,
usr_211c9de06e,STUDENT,Students,1,Fitness
usr_a0ee1d96bb,OTHER,Other,1,run
usr_c5f611665c,MEDICINE,Medicine/Health,1,running
usr_574998da53,STUDENT,Students,1,work out
usr_2af60cf596,MEDICINE,Medicine/Health,0,
usr_5585b9cd21,MEDICINE,Medicine/Health,0,
usr_8f8b200a9a,ENGINEERING,Engineering,1,Hike
usr_54d1128b0f,OTHER,Other,0,
usr_4da5e702b2,OTHER,Other,0,
usr_6abed675ba,MEDICINE,Medicine/Health,1,hike
usr_e546949ddc,OTHER,Other,1,running
usr_ba83e1402b,ENGINEERING,Engineering,1,fitness
usr_e2e23a6e0e,MEDICINE,Medicine/Health,0,
usr_8e08991398,MEDICINE,Medicine/Health,0,
usr_0e7b7af163,STUDENT,Students,1,Running
usr_04732cb97b,ARTS_HUMANITIES,Arts & Humanities,0,
usr_5f8a6bcd88,STUDENT,Students,1,running
usr_b3064cef67,STUDENT,Students,1,work out
usr_f0b57d5086,OTHER,Other,0,
usr_175108006f,MEDICINE,Medicine/Health,1,gym
usr_02bf46161c,ENGINEERING,Engineering,1,Boulder
usr_75b14a324e,STUDENT,Students,1,lift
usr_67f17eb9e6,ENGINEERING,Engineering,1,exercise
usr_f57ea7ef5b,ENGINEERING,Engineering,0,
usr_088df0aede,MEDICINE,Medicine/Health,1,bouldering
usr_c5959f611c,ENGINEERING,Engineering,1,run
usr_612c0a9acf,STUDENT,Students,0,
usr_aff5b99157,STUDENT,Students,1,Running
usr_84dc6a034d,MEDICINE,Medicine/Health,1,fitness
usr_f81ea6a0d9,OTHER,Other,0,
usr_646043becc,MEDICINE,Medicine/Health,0,
usr_0434dfa104,MEDICINE,Medicine/Health,0,
usr_aeebbaacd1,MEDICINE,Medicine/Health,0,
usr_fb725bc901,OTHER,Other,0,
usr_fa70caacaa,STUDENT,Students,0,
usr_2f8c26e8f2,MEDICINE,Medicine/Health,0,
usr_2f7814b980,MEDICINE,Medicine/Health,1,Swimming
usr_0815a0bd72,MEDICINE,Medicine/Health,0,
usr_65ff9bd76e,MEDICINE,Medicine/Health,1,run
usr_5a5a1b1133,ENGINEERING,Engineering,1,running
usr_7a4f5b5298,ENGINEERING,Engineering,1,yoga
usr_5b651e5d8a,STUDENT,Students,1,exercise
usr_ce8d89cc9a,ENGINEERING,Engineering,0,
usr_0595390b2a,STUDENT,Students,0,
usr_0ad3cadb21,MEDICINE,Medicine/Health,1,Climbing
usr_b7dffef9dd,MEDICINE,Medicine/Health,0,
usr_e2c15ff14e,STUDENT,Students,0,
usr_1b22b88b8c,ENGINEERING,Engineering,1,exercise
usr_ec181fb208,ENGINEERING,Engineering,1,Exercise
usr_8e01aabd7b,STUDENT,Students,0,
usr_3861e7bb44,MEDICINE,Medicine/Health,0,
usr_2a6d2a2d9e,ENGINEERING,Engineering,1,Hike
usr_0ddd44ddab,ENGINEERING,Engineering,1,run
usr_f31f1ef82d,ENGINEERING,Engineering,1,exercise
usr_b0cbb72cba,ENGINEERING,Engineering,0,
usr_f8264ce8ea,MEDICINE,Medicine/Health,0,
usr_388e4d83da,STUDENT,Students,1,swimming
usr_f753263e7c,MEDICINE,Medicine/Health,1,swim
usr_75f2661435,STUDENT,Students,1,run
usr_ad51f6fcde,STUDENT,Students,1,Running
usr_62a591d357,ENGINEERING,Engineering,0,
usr_a5a2e6db18,ENGINEERING,Engineering,0,
usr_043cba3ae0,STUDENT,Students,0,
usr_7bae480261,MEDICINE,Medicine/Health,1,climb
usr_a554d0a027,STUDENT,Students,1,run
usr_c171b85fd5,STUDENT,Students,0,
usr_0cf7f3e282,OTHER,Other,0,
usr_5048f38377,ENGINEERING,Engineering,1,yoga
usr_087fbc195a,MEDICINE,Medicine/Health,0,
usr_338869b614,ARTS_HUMANITIES,Arts & Humanities,1,yoga
usr_7c05cf7f82,STUDENT,Students,1,work out
usr_dab34ae3eb,STUDENT,Students,1,work out
usr_91520afa39,STUDENT,Students,0,
usr_472fe7a708,STUDENT,Students,1,gym
usr_eeb1bca3df,STUDENT,Students,1,swimming
usr_720699db56,OTHER,Other,0,
usr_48faf2fb83,MEDICINE,Medicine/Health,1,running
usr_5404818004,STUDENT,Students,0,
usr_e6786b8495,MEDICINE,Medicine/Health,1,HIIT
usr_f93929ccfe,MEDICINE,Medicine/Health,1,Running
usr_83dfcfab4f,MEDICINE,Medicine/Health,0,
usr_2a41c33405,ENGINEERING,Engineering,1,running
usr_e85937d6f1,ARTS_HUMANITIES,Arts & Humanities,1,running
usr_6d33a4613e,STUDENT,Students,1,Fitness
usr_73fb709f6f,STUDENT,Students,0,
usr_e77eb2eb7d,STUDENT,Students,1,running
usr_8b8fa88e38,ENGINEERING,Engineering,1,climbing
usr_afcc6e0593,STUDENT,Students,0,
usr_f6f09aa842,STUDENT,Students,1,exercise
usr_eca6230bc7,MEDICINE,Medicine/Health,1,swimming
usr_455248a8c2,STUDENT,Students,0,
usr_cb1f4df9ab,ENGINEERING,Engineering,1,exercise
usr_9114a08dc7,ENGINEERING,Engineering,1,swim
usr_ff0b88a130,STUDENT,Students,1,run
usr_8cff506150,OTHER,Other,0,
usr_9125241386,STUDENT,Students,0,
usr_edae9f254b,STUDENT,Students,0,
usr_3386c9dc77,OTHER,Other,0,
usr_210314bef7,STUDENT,Students,1,running
usr_6c237e0590,STUDENT,Students,1,Climbing
usr_c4f7451f7e,STUDENT,Students,0,
usr_0ea1d233e4,ARTS_HUMANITIES,Arts & Humanities,1,yoga
usr_a4ecbea0a1,STUDENT,Students,0,
usr_7a86b09354,OTHER,Other,0,
usr_145d4094eb,STUDENT,Students,0,
usr_4cabf006ea,OTHER,Other,0,
usr_002801e2b5,MEDICINE,Medicine/Health,0,
usr_92a91ee01b,MEDICINE,Medicine/Health,0,
usr_096c1fc308,ARTS_HUMANITIES,Arts & Humanities,0,
usr_8f91ad41be,ARTS_HUMANITIES,Arts & Humanities,0,
usr_772c480194,MEDICINE,Medicine/Health,1,workout
usr_a3452c4d95,MEDICINE,Medicine/Health,0,
usr_a316ad1ed3,MEDICINE,Medicine/Health,0,
usr_f6e0013eab,STUDENT,Students,0,
usr_c0b3a89595,ENGINEERING,Engineering,1,hike
usr_527d3d9c91,STUDENT,Students,1,weight lifting
usr_66fbc11cf7,STUDENT,Students,0,
usr_c77d61e581,MEDICINE,Medicine/Health,0,
usr_9c7bd4050f,STUDENT,Students,0,
usr_5675b58976,STUDENT,Students,1,gym
usr_a685339a27,STUDENT,Students,1,Fitness
usr_169fe68959,STUDENT,Students,0,
usr_3471ae2b14,STUDENT,Students,0,
usr_076c084131,MEDICINE,Medicine/Health,1,Fitness
usr_75f07f3e1a,MEDICINE,Medicine/Health,0,
usr_6220c53bd4,STUDENT,Students,1,run
usr_df563a8c21,OTHER,Other,1,running
usr_8d798f2ac8,STUDENT,Students,1,hike
usr_36af460751,ENGINEERING,Engineering,0,
usr_870452fa93,STUDENT,Students,0,
usr_ca9dfe4c14,STUDENT,Students,1,run
usr_bacc2418a5,ARTS_HUMANITIES,Arts & Humanities,0,
usr_ba9d8d1b92,ENGINEERING,Engineering,0,
usr_8ab426951e,MEDICINE,Medicine/Health,1,Exercise
usr_52bf981f18,ENGINEERING,Engineering,1,running
usr_80c22d2507,ENGINEERING,Engineering,0,
usr_df98b38087,ARTS_HUMANITIES,Arts & Humanities,0,
usr_b1185a9599,STUDENT,Students,1,Running
usr_f40be05c5f,STUDENT,Students,1,hike
usr_321cbee0ad,ENGINEERING,Engineering,1,climbing
usr_90a20138cd,STUDENT,Students,1,pilates
usr_3b7ae0f59b,ARTS_HUMANITIES,Arts & Humanities,0,
usr_2cf51205d0,ENGINEERING,Engineering,1,exercise
usr_564edb5079,ENGINEERING,Engineering,1,exercise
usr_c4a83cbbdf,STUDENT,Students,1,run
usr_657eb75a0a,STUDENT,Students,1,lifting
usr_6604a51053,ENGINEERING,Engineering,0,
usr_370e9dbeca,MEDICINE,Medicine/Health,0,
usr_f524dc772d,STUDENT,Students,0,
usr_655f1ed2c4,ARTS_HUMANITIES,Arts & Humanities,0,
usr_60221ab882,MEDICINE,Medicine/Health,1,run
usr_5d19c07e30,OTHER,Other,0,
usr_4fc014d179,ENGINEERING,Engineering,1,exercise
usr_da31a54b44,MEDICINE,Medicine/Health,0,
usr_91f5407cf3,OTHER,Other,0,
