id,source_gender,target_gender,group,word_count,complex_pct,interestedIn_raw
usr_62111231bc,F,F,Women → Women,1592,17.776,"['F', 'M']"
usr_62111231bc,F,M,Women → Men,1592,17.776,"['F', 'M']"
usr_18c02c17a2,M,F,Men → Women,906,9.934,['F']
usr_1c58a6a0e7,F,M,Women → Men,1224,14.461,['M']
usr_f2fa5eadbf,M,F,Men → Women,839,13.826,['F']
usr_aea53a8142,F,M,Women → Men,2030,14.039,['M']
usr_957f29464f,F,M,Women → Men,335,10.746,['M']
usr_9256c466fb,M,F,Men → Women,566,20.318,['F']
usr_f79f5f2b1b,M,F,Men → Women,2080,12.548,['F']
usr_f98cae6f00,F,M,Women → Men,1336,25.449,"['M', 'NB']"
usr_f98cae6f00,F,NB,Women → NB,1336,25.449,"['M', 'NB']"
usr_77c62063c9,M,F,Men → Women,1000,12.2,['F']
usr_5bd7339095,M,F,Men → Women,1512,13.228,['F']
usr_323f919897,F,M,Women → Men,568,21.479,"['M', 'NB']"
usr_323f919897,F,NB,Women → NB,568,21.479,"['M', 'NB']"
usr_44b02483f3,F,M,Women → Men,1157,15.644,['M']
usr_9368a27fa1,M,F,Men → Women,1385,23.466,['F']
usr_15f3bdcf80,F,M,Women → Men,369,20.325,"['M', 'NB']"
usr_15f3bdcf80,F,NB,Women → NB,369,20.325,"['M', 'NB']"
usr_69c6656a7e,M,F,Men → Women,645,9.922,['F']
usr_5d1b9d55a6,M,F,Men → Women,384,10.938,['F']
usr_db2dae94d0,M,F,Men → Women,1040,13.846,['F']
usr_3647e23669,M,F,Men → Women,2850,13.754,['F']
usr_6dc2e0bdb6,M,F,Men → Women,853,20.516,['F']
usr_a4dd2a5faa,M,F,Men → Women,568,18.486,['F']
usr_ca7ce7ccf9,F,M,Women → Men,892,16.592,['M']
usr_1a3dd3479b,M,F,Men → Women,396,17.172,['F']
usr_a6812c96de,F,M,Women → Men,817,14.688,['M']
usr_8734675044,F,M,Women → Men,535,15.327,"['M', 'NB']"
usr_8734675044,F,NB,Women → NB,535,15.327,"['M', 'NB']"
usr_a7a9bad78b,M,F,Men → Women,762,18.373,['F']
usr_78ece4944a,M,F,Men → Women,326,6.442,['F']
usr_3089c6389f,M,F,Men → Women,1144,12.15,['F']
usr_7b6463a41f,F,M,Women → Men,369,13.279,['M']
usr_41855fc328,F,M,Women → Men,2686,23.641,['M']
usr_e4e1b0b7c4,M,F,Men → Women,1159,23.727,"['F', 'M', 'NB']"
usr_e4e1b0b7c4,M,M,Men → Men,1159,23.727,"['F', 'M', 'NB']"
usr_e4e1b0b7c4,M,NB,Men → NB,1159,23.727,"['F', 'M', 'NB']"
usr_2baef7757a,M,F,Men → Women,853,12.544,['F']
usr_29f94af17f,M,F,Men → Women,748,18.048,['F']
usr_bc8943c1f6,M,F,Men → Women,119,21.849,['F']
usr_07f65c8d00,M,F,Men → Women,368,10.326,['F']
usr_9ea93eae4d,M,F,Men → Women,339,17.404,['F']
usr_05416c339c,M,F,Men → Women,886,13.77,['F']
usr_2d2e80e632,F,M,Women → Men,788,11.421,['M']
usr_b249276aff,F,M,Women → Men,1877,10.762,['M']
usr_28c25b686b,M,F,Men → Women,323,14.241,['F']
usr_af082a73b0,M,F,Men → Women,476,12.395,['F']
usr_de9267b485,M,F,Men → Women,1361,13.666,['F']
usr_fc017d82c9,F,F,Women → Women,178,20.787,"['F', 'M', 'NB']"
usr_fc017d82c9,F,M,Women → Men,178,20.787,"['F', 'M', 'NB']"
usr_fc017d82c9,F,NB,Women → NB,178,20.787,"['F', 'M', 'NB']"
usr_7abe6d26c5,M,F,Men → Women,1686,15.718,['F']
usr_55a09b3eb6,M,F,Men → Women,434,14.977,['F']
usr_5c454914d9,M,F,Men → Women,571,14.186,"['F', 'NB']"
usr_5c454914d9,M,NB,Men → NB,571,14.186,"['F', 'NB']"
usr_bea9a0b648,M,F,Men → Women,924,10.498,['F']
usr_1a96b561a7,M,F,Men → Women,392,16.582,['F']
usr_1fb73e4836,M,F,Men → Women,840,14.048,['F']
usr_9e07ccdaa5,M,F,Men → Women,364,8.791,['F']
usr_f1fa07879a,M,F,Men → Women,1871,11.331,"['F', 'M', 'NB']"
usr_f1fa07879a,M,M,Men → Men,1871,11.331,"['F', 'M', 'NB']"
usr_f1fa07879a,M,NB,Men → NB,1871,11.331,"['F', 'M', 'NB']"
usr_2b3c84d078,F,M,Women → Men,324,13.58,['M']
usr_76e12533b0,M,F,Men → Women,1172,15.956,"['F', 'NB']"
usr_76e12533b0,M,NB,Men → NB,1172,15.956,"['F', 'NB']"
usr_e02afc30b9,F,M,Women → Men,420,10.238,['M']
usr_7beff3f364,M,F,Men → Women,446,15.022,['F']
usr_ec665788c6,M,F,Men → Women,1201,9.659,['F']
usr_1d7ce6b95c,F,F,Women → Women,103,7.767,"['F', 'M', 'NB']"
usr_1d7ce6b95c,F,M,Women → Men,103,7.767,"['F', 'M', 'NB']"
usr_1d7ce6b95c,F,NB,Women → NB,103,7.767,"['F', 'M', 'NB']"
usr_8c045e9342,M,F,Men → Women,1118,14.132,['F']
usr_482e943750,M,F,Men → Women,307,9.446,['F']
usr_c7b0287a2e,M,F,Men → Women,402,16.418,['F']
usr_2b2bbb68f8,F,M,Women → Men,1041,11.239,['M']
usr_8a66d8f970,M,F,Men → Women,12555,15.93,['F']
usr_dc07f2432e,M,F,Men → Women,429,10.49,['F']
usr_b8ae6cc066,M,F,Men → Women,832,9.856,['F']
usr_eafd834d0c,M,F,Men → Women,183,14.208,['F']
usr_5cb6a47d0b,F,M,Women → Men,326,11.35,['M']
usr_a64be45867,M,F,Men → Women,175,20.0,['F']
usr_65da957f53,M,F,Men → Women,375,13.867,['F']
usr_086121af0b,M,F,Men → Women,1292,13.854,['F']
usr_d011560031,M,F,Men → Women,1347,13.512,"['F', 'NB']"
usr_d011560031,M,NB,Men → NB,1347,13.512,"['F', 'NB']"
usr_4542e591bd,M,F,Men → Women,670,14.478,['F']
usr_87ae7e8e85,M,F,Men → Women,720,11.25,"['F', 'NB']"
usr_87ae7e8e85,M,NB,Men → NB,720,11.25,"['F', 'NB']"
usr_c95879af82,M,F,Men → Women,855,16.257,['F']
usr_3eb7c032c3,M,F,Men → Women,1492,18.097,['F']
usr_b1841bcdb4,F,M,Women → Men,592,9.291,['M']
usr_4c79d89899,M,F,Men → Women,1557,12.46,['F']
usr_ad37c5c484,F,F,Women → Women,501,17.166,"['F', 'M', 'NB']"
usr_ad37c5c484,F,M,Women → Men,501,17.166,"['F', 'M', 'NB']"
usr_ad37c5c484,F,NB,Women → NB,501,17.166,"['F', 'M', 'NB']"
usr_e913712157,M,F,Men → Women,1280,15.937,['F']
usr_f9d016cd0b,M,F,Men → Women,648,10.031,['F']
usr_dee75989a8,M,F,Men → Women,866,14.781,['F']
usr_f84a619384,M,M,Men → Men,110,12.727,['M']
usr_1ffec2b180,M,F,Men → Women,1513,12.954,['F']
usr_5807311f43,M,F,Men → Women,1078,10.853,['F']
usr_3f5b9628fc,F,M,Women → Men,435,11.034,['M']
usr_7bea345c09,M,F,Men → Women,1749,16.695,"['F', 'NB']"
usr_7bea345c09,M,NB,Men → NB,1749,16.695,"['F', 'NB']"
usr_f6860f2591,M,F,Men → Women,1074,11.825,['F']
usr_6c48cb097e,M,F,Men → Women,273,7.692,['F']
usr_74299a606e,F,M,Women → Men,258,17.442,['M']
usr_f99d050fdb,M,F,Men → Women,1663,10.764,"['F', 'NB']"
usr_f99d050fdb,M,NB,Men → NB,1663,10.764,"['F', 'NB']"
usr_23903e6cac,M,F,Men → Women,1057,11.637,['F']
usr_1cbd809ad9,M,F,Men → Women,1647,13.783,['F']
usr_64aaeab250,M,F,Men → Women,2515,11.213,['F']
usr_f8b3720cf2,M,F,Men → Women,1904,13.55,['F']
usr_13d918dd1a,M,F,Men → Women,1215,12.428,['F']
usr_f3d4b8d4e3,M,F,Men → Women,1361,11.095,"['F', 'M']"
usr_f3d4b8d4e3,M,M,Men → Men,1361,11.095,"['F', 'M']"
usr_582385d5f1,F,F,Women → Women,1049,11.725,"['F', 'M']"
usr_582385d5f1,F,M,Women → Men,1049,11.725,"['F', 'M']"
usr_211c9de06e,M,F,Men → Women,181,25.967,['F']
usr_a0ee1d96bb,M,F,Men → Women,289,11.073,['F']
usr_c5f611665c,F,M,Women → Men,275,15.636,['M']
usr_574998da53,M,F,Men → Women,1492,13.606,['F']
