id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_62111231bc,Looking for Both,1592,93,46,49.462,17.118
usr_18c02c17a2,Looking for Women,906,60,27,45.0,15.1
usr_1c58a6a0e7,Looking for Men,1224,43,28,65.116,28.465
usr_f2fa5eadbf,Looking for Women,839,53,22,41.509,15.83
usr_aea53a8142,Looking for Men,2030,72,52,72.222,28.194
usr_957f29464f,Looking for Men,335,34,8,23.529,9.853
usr_9256c466fb,Looking for Women,566,20,12,60.0,28.3
usr_f79f5f2b1b,Looking for Women,2080,78,43,55.128,26.667
usr_f98cae6f00,Looking for Men,1336,32,26,81.25,41.75
usr_77c62063c9,Looking for Women,1000,69,31,44.928,14.493
usr_5bd7339095,Looking for Women,1512,119,31,26.05,12.706
usr_323f919897,Looking for Men,568,42,17,40.476,13.524
usr_44b02483f3,Looking for Men,1157,65,33,50.769,17.8
usr_9368a27fa1,Looking for Women,1385,70,43,61.429,19.786
usr_15f3bdcf80,Looking for Men,369,23,11,47.826,16.043
usr_69c6656a7e,Looking for Women,645,29,17,58.621,22.241
usr_5d1b9d55a6,Looking for Women,384,13,6,46.154,29.538
usr_db2dae94d0,Looking for Women,1040,46,29,63.043,22.609
usr_3647e23669,Looking for Women,2850,148,94,63.514,19.257
usr_6dc2e0bdb6,Looking for Women,853,59,22,37.288,14.458
usr_a4dd2a5faa,Looking for Women,568,30,12,40.0,18.933
usr_ca7ce7ccf9,Looking for Men,892,59,26,44.068,15.119
usr_1a3dd3479b,Looking for Women,396,17,8,47.059,23.294
usr_a6812c96de,Looking for Men,817,36,18,50.0,22.694
usr_8734675044,Looking for Men,535,9,8,88.889,59.444
usr_a7a9bad78b,Looking for Women,762,45,18,40.0,16.933
usr_78ece4944a,Looking for Women,326,14,10,71.429,23.286
usr_3089c6389f,Looking for Women,1144,63,34,53.968,18.159
usr_7b6463a41f,Looking for Men,369,12,4,33.333,30.75
usr_41855fc328,Looking for Men,2686,64,46,71.875,41.969
usr_e4e1b0b7c4,Looking for Both,1159,64,41,64.062,18.109
usr_2baef7757a,Looking for Women,853,48,26,54.167,17.771
usr_29f94af17f,Looking for Women,748,51,20,39.216,14.667
usr_bc8943c1f6,Looking for Women,119,7,4,57.143,17.0
usr_07f65c8d00,Looking for Women,368,32,7,21.875,11.5
usr_9ea93eae4d,Looking for Women,339,23,9,39.13,14.739
usr_05416c339c,Looking for Women,886,52,21,40.385,17.038
usr_2d2e80e632,Looking for Men,788,40,25,62.5,19.7
usr_b249276aff,Looking for Men,1877,94,62,65.957,19.968
usr_28c25b686b,Looking for Women,323,18,9,50.0,17.944
usr_af082a73b0,Looking for Women,476,27,18,66.667,17.63
usr_de9267b485,Looking for Women,1361,78,42,53.846,17.449
usr_fc017d82c9,Looking for Both,178,12,6,50.0,14.833
usr_7abe6d26c5,Looking for Women,1686,84,55,65.476,20.071
usr_55a09b3eb6,Looking for Women,434,29,9,31.034,14.966
usr_5c454914d9,Looking for Women,571,37,15,40.541,15.432
usr_bea9a0b648,Looking for Women,924,72,22,30.556,12.833
usr_1a96b561a7,Looking for Women,392,22,12,54.545,17.818
usr_1fb73e4836,Looking for Women,840,50,23,46.0,16.8
usr_9e07ccdaa5,Looking for Women,364,25,8,32.0,14.56
usr_f1fa07879a,Looking for Both,1871,98,54,55.102,19.092
usr_2b3c84d078,Looking for Men,324,18,11,61.111,18.0
usr_76e12533b0,Looking for Women,1172,37,20,54.054,31.676
usr_e02afc30b9,Looking for Men,420,31,11,35.484,13.548
usr_7beff3f364,Looking for Women,446,35,11,31.429,12.743
usr_ec665788c6,Looking for Women,1201,112,22,19.643,10.723
usr_1d7ce6b95c,Looking for Both,103,6,2,33.333,17.167
usr_8c045e9342,Looking for Women,1118,65,32,49.231,17.2
usr_482e943750,Looking for Women,307,21,8,38.095,14.619
usr_c7b0287a2e,Looking for Women,402,17,11,64.706,23.647
usr_2b2bbb68f8,Looking for Men,1041,69,23,33.333,15.087
usr_8a66d8f970,Looking for Women,12555,693,304,43.867,18.117
usr_dc07f2432e,Looking for Women,429,30,13,43.333,14.3
usr_b8ae6cc066,Looking for Women,832,57,25,43.86,14.596
usr_eafd834d0c,Looking for Women,183,7,6,85.714,26.143
usr_5cb6a47d0b,Looking for Men,326,34,9,26.471,9.588
usr_a64be45867,Looking for Women,175,12,4,33.333,14.583
usr_f93f3a791a,Looking for Men,2616,153,69,45.098,17.098
usr_65da957f53,Looking for Women,375,50,3,6.0,7.5
usr_086121af0b,Looking for Women,1292,86,34,39.535,15.023
usr_d011560031,Looking for Women,1347,92,44,47.826,14.641
usr_4542e591bd,Looking for Women,670,54,11,20.37,12.407
usr_87ae7e8e85,Looking for Women,720,55,17,30.909,13.091
usr_c95879af82,Looking for Women,855,49,22,44.898,17.449
usr_3eb7c032c3,Looking for Women,1492,79,42,53.165,18.886
usr_b1841bcdb4,Looking for Men,592,40,16,40.0,14.8
usr_4c79d89899,Looking for Women,1557,82,30,36.585,18.988
usr_ad37c5c484,Looking for Both,501,17,11,64.706,29.471
usr_e913712157,Looking for Women,1280,68,21,30.882,18.824
usr_f9d016cd0b,Looking for Women,648,36,19,52.778,18.0
usr_dee75989a8,Looking for Women,866,50,21,42.0,17.32
usr_f84a619384,Looking for Men,110,3,2,66.667,36.667
usr_1ffec2b180,Looking for Women,1513,66,37,56.061,22.924
usr_5807311f43,Looking for Women,1078,79,28,35.443,13.646
usr_3f5b9628fc,Looking for Men,435,34,9,26.471,12.794
usr_7bea345c09,Looking for Women,1749,55,34,61.818,31.8
usr_f6860f2591,Looking for Women,1074,97,16,16.495,11.072
usr_32e6c20d7a,Looking for Men,1913,72,41,56.944,26.569
usr_6c48cb097e,Looking for Women,273,18,8,44.444,15.167
usr_74299a606e,Looking for Men,258,10,5,50.0,25.8
usr_f99d050fdb,Looking for Women,1663,90,47,52.222,18.478
usr_23903e6cac,Looking for Women,1057,38,21,55.263,27.816
usr_1cbd809ad9,Looking for Women,1647,78,54,69.231,21.115
usr_64aaeab250,Looking for Women,2515,131,75,57.252,19.198
usr_f8b3720cf2,Looking for Women,1904,111,45,40.541,17.153
usr_13d918dd1a,Looking for Women,1215,68,34,50.0,17.868
usr_f3d4b8d4e3,Looking for Both,1361,71,38,53.521,19.169
usr_582385d5f1,Looking for Both,1049,53,29,54.717,19.792
usr_211c9de06e,Looking for Women,181,7,4,57.143,25.857
usr_a0ee1d96bb,Looking for Women,289,20,4,20.0,14.45
usr_c5f611665c,Looking for Men,275,7,2,28.571,39.286
usr_574998da53,Looking for Women,1492,92,38,41.304,16.217
usr_2af60cf596,Looking for Men,268,24,6,25.0,11.167
usr_5585b9cd21,Looking for Women,697,57,21,36.842,12.228
usr_8f8b200a9a,Looking for Both,739,40,19,47.5,18.475
usr_54d1128b0f,Looking for Men,105,8,3,37.5,13.125
usr_4da5e702b2,Looking for Women,126,11,2,18.182,11.455
usr_6abed675ba,Looking for Men,860,48,20,41.667,17.917
usr_e546949ddc,Looking for Men,635,47,17,36.17,13.511
usr_ba83e1402b,Looking for Women,533,34,16,47.059,15.676
usr_e2e23a6e0e,Looking for Men,345,24,10,41.667,14.375
usr_8e08991398,Looking for Women,596,33,21,63.636,18.061
usr_0e7b7af163,Looking for Women,1832,51,27,52.941,35.922
usr_04732cb97b,Looking for Women,295,22,7,31.818,13.409
usr_5f8a6bcd88,Looking for Women,871,49,25,51.02,17.776
usr_b3064cef67,Looking for Women,1619,85,50,58.824,19.047
usr_f0b57d5086,Looking for Women,126,10,4,40.0,12.6
usr_175108006f,Looking for Women,838,47,30,63.83,17.83
usr_02bf46161c,Looking for Women,480,26,15,57.692,18.462
usr_75b14a324e,Looking for Women,2069,103,60,58.252,20.087
usr_67f17eb9e6,Looking for Women,1040,78,30,38.462,13.333
usr_f57ea7ef5b,Looking for Both,514,43,10,23.256,11.953
usr_088df0aede,Looking for Women,653,26,16,61.538,25.115
usr_c5959f611c,Looking for Men,732,37,14,37.838,19.784
usr_612c0a9acf,Looking for Women,866,58,25,43.103,14.931
usr_aff5b99157,Looking for Women,2318,94,58,61.702,24.66
usr_84dc6a034d,Looking for Men,239,11,8,72.727,21.727
usr_f81ea6a0d9,Looking for Women,332,22,9,40.909,15.091
usr_646043becc,Looking for Women,743,39,20,51.282,19.051
usr_0434dfa104,Looking for Women,421,23,12,52.174,18.304
usr_aeebbaacd1,Looking for Women,331,21,11,52.381,15.762
usr_fb725bc901,Looking for Men,113,3,3,100.0,37.667
usr_fa70caacaa,Looking for Both,854,71,17,23.944,12.028
usr_2f8c26e8f2,Looking for Men,933,50,26,52.0,18.66
usr_2f7814b980,Looking for Men,1488,79,43,54.43,18.835
